"Species","Family","Order","Mass","Trophic_level","HWI","brain_mass_g","CRB_Final","mass_kg"
"Ammospiza_leconteii","Passerellidae","Passeriformes",13,"Omnivore",18.8,NA,0,0.013
"Amphispiza_bilineata","Passerellidae","Passeriformes",13.5,"Omnivore",17.7,0.70448,0,0.0135
"Amytornis_striatus","Maluridae","Passeriformes",19.6,"Omnivore",7.5,NA,0,0.0196
"Anodorhynchus_hyacinthinus","Psittacidae","Psittaciformes",1331,"Herbivore",30.9,NA,1,1.331
"Anodorhynchus_leari","Psittacidae","Psittaciformes",940,"Herbivore",30.7,NA,1,0.94
"Anomalospiza_imberbis","Viduidae","Passeriformes",20.5,"Herbivore",23.9,NA,1,0.0205
"Anthobaphes_violacea","Nectariniidae","Passeriformes",9.4,"Herbivore",16,NA,0,0.0094
"Anthochaera_carunculata","Meliphagidae","Passeriformes",106.1,"Herbivore",25.6,2.2792,1,0.1061
"Anthochaera_chrysoptera","Meliphagidae","Passeriformes",67.8,"Herbivore",19.8,1.7612,1,0.0678
"Anthochaera_paradoxa","Meliphagidae","Passeriformes",143.7,"Herbivore",23.2,NA,1,0.1437
"Anthochaera_phrygia","Meliphagidae","Passeriformes",40,"Herbivore",26.6,1.06708,1,0.04
"Anthus_cervinus","Motacillidae","Passeriformes",20.9,"Carnivore",27.5,NA,0,0.0209
"Anthus_pratensis","Motacillidae","Passeriformes",18.4,"Carnivore",24.3,NA,0,0.0184
"Anthus_rubescens","Motacillidae","Passeriformes",20.7,"Carnivore",28.4,NA,1,0.0207
"Aplonis_magna","Sturnidae","Passeriformes",56.5,"Herbivore",34.2,NA,1,0.0565
"Aplonis_opaca","Sturnidae","Passeriformes",83.4,"Herbivore",23.8,NA,1,0.0834
"Aplonis_panayensis","Sturnidae","Passeriformes",56.2,"Herbivore",34.9,NA,1,0.0562
"Aquila_adalberti","Accipitridae","Accipitriformes",2958,"Carnivore",39.7,NA,1,2.958
"Aquila_chrysaetos","Accipitridae","Accipitriformes",4248,"Carnivore",36.7,17.80884,1,4.248
"Aquila_fasciata","Accipitridae","Accipitriformes",1936.5,"Carnivore",37.3,NA,1,1.9365
"Aquila_heliaca","Accipitridae","Accipitriformes",3125.2,"Carnivore",39.5,NA,1,3.1252
"Aquila_rapax","Accipitridae","Accipitriformes",2236.1,"Carnivore",38.7,13.78916,1,2.2361
"Aquila_verreauxii","Accipitridae","Accipitriformes",4195,"Carnivore",34,NA,0,4.195
"Ara_ambiguus","Psittacidae","Psittaciformes",1300,"Herbivore",39.2,NA,0,1.3
"Ara_ararauna","Psittacidae","Psittaciformes",1125,"Herbivore",30.1,18.73088,1,1.125
"Ara_glaucogularis","Psittacidae","Psittaciformes",784,"Herbivore",33.1,NA,1,0.784
"Ara_macao","Psittacidae","Psittaciformes",1015,"Herbivore",32.7,18.57548,0,1.015
"Ara_militaris","Psittacidae","Psittaciformes",1134,"Herbivore",41.1,NA,0,1.134
"Ara_rubrogenys","Psittacidae","Psittaciformes",468,"Herbivore",37.9,NA,0,0.468
"Ara_severus","Psittacidae","Psittaciformes",343,"Herbivore",35.9,NA,0,0.343
"Arachnothera_longirostra","Nectariniidae","Passeriformes",12.5,"Omnivore",14.1,NA,0,0.0125
"Aratinga_maculata","Psittacidae","Psittaciformes",119.6,"Herbivore",40.6,NA,0,0.1196
"Aratinga_nenday","Psittacidae","Psittaciformes",128,"Herbivore",46.5,NA,1,0.128
"Aratinga_solstitialis","Psittacidae","Psittaciformes",119.6,"Herbivore",41.3,4.10938357,0,0.1196
"Argya_affinis","Leiotrichidae","Passeriformes",63.3,"Omnivore",11.8,NA,1,0.0633
"Arses_lorealis","Monarchidae","Passeriformes",13.7,"Carnivore",17.4,NA,0,0.0137
"Asemospiza_fuliginosa","Thraupidae","Passeriformes",13.3,"Herbivore",17.9,NA,0,0.0133
"Asio_capensis","Strigidae","Strigiformes",334,"Carnivore",40.2,NA,1,0.334
"Asio_clamator","Strigidae","Strigiformes",443.3,"Carnivore",19.3,NA,1,0.4433
"Asio_flammeus","Strigidae","Strigiformes",322.6,"Carnivore",47.5,5.4908,1,0.3226
"Asio_otus","Strigidae","Strigiformes",296.6,"Carnivore",41.2,5.50116,1,0.2966
"Athene_brama","Strigidae","Strigiformes",112,"Carnivore",29.2,NA,1,0.112
"Athene_cunicularia","Strigidae","Strigiformes",150.6,"Carnivore",28.3,3.91608,0,0.1506
"Athene_noctua","Strigidae","Strigiformes",168.9,"Carnivore",31.8,3.8332,1,0.1689
"Aulacorhynchus_prasinus","Ramphastidae","Piciformes",170.6,"Herbivore",12.8,NA,1,0.1706
"Auriparus_flaviceps","Remizidae","Passeriformes",6.8,"Carnivore",14.4,0.45584,1,0.0068
"Aviceda_cuculoides","Accipitridae","Accipitriformes",277,"Carnivore",42.4,NA,0,0.277
"Aviceda_jerdoni","Accipitridae","Accipitriformes",363,"Carnivore",25.6,NA,0,0.363
"Aviceda_leuphotes","Accipitridae","Accipitriformes",194,"Carnivore",35.3,NA,1,0.194
"Baeolophus_bicolor","Paridae","Passeriformes",21.6,"Carnivore",16.1,1.04636,0,0.0216
"Barnardius_zonarius","Psittacidae","Psittaciformes",133,"Herbivore",41.2,3.8816848,1,0.133
"Bolborhynchus_orbygnesius","Psittacidae","Psittaciformes",43.1,"Herbivore",42.2,NA,1,0.0431
"Bradypterus_barratti","Locustellidae","Passeriformes",18.8,"Carnivore",12.8,NA,0,0.0188
"Brotogeris_chiriri","Psittacidae","Psittaciformes",61.6,"Herbivore",44.8,NA,1,0.0616
"Brotogeris_jugularis","Psittacidae","Psittaciformes",63.2,"Herbivore",42,1.917980931,1,0.0632
"Brotogeris_versicolurus","Psittacidae","Psittaciformes",71.5,"Herbivore",39.3,2.47604,1,0.0715
"Bubo_bubo","Strigidae","Strigiformes",2668.5,"Carnivore",33,17.70524,0,2.6685
"Bubo_scandiacus","Strigidae","Strigiformes",2028.8,"Carnivore",41.1,NA,1,2.0288
"Bubo_virginianus","Strigidae","Strigiformes",1354.5,"Carnivore",30.4,15.26028,1,1.3545
"Busarellus_nigricollis","Accipitridae","Accipitriformes",766.1,"Carnivore",27,NA,0,0.7661
"Butastur_rufipennis","Accipitridae","Accipitriformes",334.9,"Carnivore",45.8,NA,1,0.3349
"Buteo_albigula","Accipitridae","Accipitriformes",525,"Carnivore",37.6,NA,1,0.525
"Buteo_albonotatus","Accipitridae","Accipitriformes",745.9,"Carnivore",40.3,NA,0,0.7459
"Buteo_brachyurus","Accipitridae","Accipitriformes",496,"Carnivore",29.7,NA,0,0.496
"Buteo_buteo","Accipitridae","Accipitriformes",759.1,"Carnivore",38.3,8.22584,0,0.7591
"Buteo_galapagoensis","Accipitridae","Accipitriformes",1137.4,"Carnivore",43.6,NA,1,1.1374
"Buteo_jamaicensis","Accipitridae","Accipitriformes",1101.2,"Carnivore",34.1,9.51048,0,1.1012
"Buteo_lagopus","Accipitridae","Accipitriformes",949.8,"Carnivore",42.1,9.5312,1,0.9498
"Buteo_lineatus","Accipitridae","Accipitriformes",603.7,"Carnivore",33.4,7.44884,0,0.6037
"Buteo_platypterus","Accipitridae","Accipitriformes",453.7,"Carnivore",36.9,5.30432,1,0.4537
"Buteo_regalis","Accipitridae","Accipitriformes",1437.2,"Carnivore",41.3,9.842,1,1.4372
"Buteo_ridgwayi","Accipitridae","Accipitriformes",315,"Carnivore",33.4,NA,0,0.315
"Buteo_solitarius","Accipitridae","Accipitriformes",500.9,"Carnivore",34.1,NA,0,0.5009
"Buteo_swainsoni","Accipitridae","Accipitriformes",946.6,"Carnivore",46.6,7.62496,1,0.9466
"Buteo_ventralis","Accipitridae","Accipitriformes",1190.5,"Carnivore",33,NA,0,1.1905
"Buteogallus_anthracinus","Accipitridae","Accipitriformes",975.1,"Carnivore",30.7,7.42812,1,0.9751
"Buteogallus_coronatus","Accipitridae","Accipitriformes",2950,"Carnivore",33,NA,0,2.95
"Buteogallus_urubitinga","Accipitridae","Accipitriformes",1152.9,"Carnivore",22,9.585706037,0,1.1529
"Campephilus_leucopogon","Picidae","Piciformes",249,"Carnivore",25.7,NA,0,0.249
"Campephilus_robustus","Picidae","Piciformes",200,"Carnivore",20.1,NA,0,0.2
"Campylorhynchus_brunneicapillus","Troglodytidae","Passeriformes",38.9,"Carnivore",13.7,NA,0,0.0389
"Campylorhynchus_capistratus","Troglodytidae","Passeriformes",31,"Carnivore",9.6,NA,1,0.031
"Campylorhynchus_nuchalis","Troglodytidae","Passeriformes",23.2,"Carnivore",14.4,NA,1,0.0232
"Campylorhynchus_zonatus","Troglodytidae","Passeriformes",34.6,"Carnivore",12.6,NA,0,0.0346
"Cantorchilus_leucotis","Troglodytidae","Passeriformes",19.4,"Carnivore",12.2,NA,1,0.0194
"Cardellina_canadensis","Parulidae","Passeriformes",10,"Carnivore",25.9,NA,0,0.01
"Cardellina_pusilla","Parulidae","Passeriformes",7,"Carnivore",20.7,NA,0,0.007
"Carduelis_carduelis","Fringillidae","Passeriformes",16,"Herbivore",33.4,0.6734,1,0.016
"Carpodectes_antoniae","Cotingidae","Passeriformes",98,"Herbivore",20.5,NA,1,0.098
"Cathartes_aura","Cathartidae","Cathartiformes",1518.2,"Scavenger",26.9,10.33928,0,1.5182
"Cathartes_burrovianus","Cathartidae","Cathartiformes",935,"Scavenger",27.5,NA,0,0.935
"Cathartes_melambrotus","Cathartidae","Cathartiformes",1373,"Scavenger",16.5,NA,0,1.373
"Catharus_bicknelli","Turdidae","Passeriformes",27.8,"Carnivore",28.6,NA,0,0.0278
"Catharus_guttatus","Turdidae","Passeriformes",30.1,"Omnivore",26.9,NA,0,0.0301
"Catharus_minimus","Turdidae","Passeriformes",31.6,"Carnivore",30.8,NA,0,0.0316
"Celeus_galeatus","Picidae","Piciformes",124,"Carnivore",19,NA,0,0.124
"Ceryle_rudis","Alcedinidae","Coraciiformes",84.4,"Carnivore",34.5,1.64724,1,0.0844
"Charmosyna_meeki","Psittacidae","Psittaciformes",23.8,"Herbivore",45.5,NA,0,0.0238
"Chelictinia_riocourii","Accipitridae","Accipitriformes",110,"Carnivore",55.7,NA,1,0.11
"Chiroxiphia_linearis","Pipridae","Passeriformes",17.4,"Herbivore",9.6,0.62330023,0,0.0174
"Chloris_chloris","Fringillidae","Passeriformes",26,"Herbivore",32.5,NA,1,0.026
"Chloris_sinica","Fringillidae","Passeriformes",18.6,"Herbivore",33.5,NA,1,0.0186
"Chondrohierax_uncinatus","Accipitridae","Accipitriformes",286.1,"Carnivore",21,NA,0,0.2861
"Chrysomus_ruficapillus","Icteridae","Passeriformes",32,"Omnivore",19.7,NA,1,0.032
"Cincloramphus_cruralis","Locustellidae","Passeriformes",49.2,"Carnivore",23,1.099959141,0,0.0492
"Cincloramphus_mathewsi","Locustellidae","Passeriformes",29.3,"Carnivore",21.4,NA,0,0.0293
"Cincloramphus_timoriensis","Locustellidae","Passeriformes",21.6,"Carnivore",13.5,NA,0,0.0216
"Cinnycerthia_olivascens","Troglodytidae","Passeriformes",24.4,"Carnivore",9.4,NA,1,0.0244
"Cinnyricinclus_leucogaster","Sturnidae","Passeriformes",44,"Herbivore",30.5,NA,1,0.044
"Cinnyris_asiaticus","Nectariniidae","Passeriformes",8.1,"Omnivore",20.6,NA,0,0.0081
"Cinnyris_lotenius","Nectariniidae","Passeriformes",8.8,"Omnivore",15.4,NA,0,0.0088
"Circaetus_gallicus","Accipitridae","Accipitriformes",1699.1,"Carnivore",40.5,NA,1,1.6991
"Circaetus_pectoralis","Accipitridae","Accipitriformes",1500,"Carnivore",43,NA,1,1.5
"Circus_aeruginosus","Accipitridae","Accipitriformes",704.1,"Carnivore",45.6,5.8463,1,0.7041
"Circus_approximans","Accipitridae","Accipitriformes",746.2,"Carnivore",44.7,5.67728,1,0.7462
"Circus_cyaneus","Accipitridae","Accipitriformes",393,"Carnivore",44.7,4.95208,1,0.393
"Circus_hudsonius","Accipitridae","Accipitriformes",393,"Carnivore",44.6,NA,1,0.393
"Circus_macrourus","Accipitridae","Accipitriformes",384.4,"Carnivore",52.4,NA,1,0.3844
"Circus_maillardi","Accipitridae","Accipitriformes",663.6,"Carnivore",40.2,NA,0,0.6636
"Circus_maurus","Accipitridae","Accipitriformes",509,"Carnivore",42.6,NA,1,0.509
"Circus_melanoleucos","Accipitridae","Accipitriformes",336.3,"Carnivore",50.5,NA,1,0.3363
"Circus_pygargus","Accipitridae","Accipitriformes",310.8,"Carnivore",52,NA,1,0.3108
"Circus_ranivorus","Accipitridae","Accipitriformes",507,"Carnivore",44,NA,1,0.507
"Circus_spilonotus","Accipitridae","Accipitriformes",558.8,"Carnivore",47.7,NA,1,0.5588
"Clanga_clanga","Accipitridae","Accipitriformes",2154.3,"Carnivore",37.9,NA,1,2.1543
"Coccothraustes_coccothraustes","Fringillidae","Passeriformes",56.6,"Herbivore",32.9,NA,1,0.0566
"Coccothraustes_vespertinus","Fringillidae","Passeriformes",57.3,"Herbivore",34.2,1.7612,1,0.0573
"Coereba_flaveola","Thraupidae","Passeriformes",10,"Herbivore",19.2,0.45584,0,0.01
"Colaptes_auratus","Picidae","Piciformes",131.5,"Carnivore",24.8,3.17016,0,0.1315
"Colaptes_campestris","Picidae","Piciformes",158,"Carnivore",17.6,NA,1,0.158
"Colius_colius","Coliidae","Coliiformes",41.4,"Herbivore",29.4,NA,1,0.0414
"Colius_striatus","Coliidae","Coliiformes",51.1,"Herbivore",24.4,1.18104,1,0.0511
"Contopus_sordidulus","Tyrannidae","Passeriformes",13.1,"Carnivore",33.5,NA,0,0.0131
"Coracias_cyanogaster","Coraciidae","Coraciiformes",142,"Carnivore",29.7,NA,1,0.142
"Coracopsis_nigra","Psittacidae","Psittaciformes",186.2,"Herbivore",39.5,NA,0,0.1862
"Coracopsis_sibilans","Psittacidae","Psittaciformes",186.2,"Herbivore",34.2,NA,0,0.1862
"Coracopsis_vasa","Psittacidae","Psittaciformes",525,"Herbivore",38.8,NA,0,0.525
"Coragyps_atratus","Cathartidae","Cathartiformes",1881.7,"Omnivore",14.3,12.42164,1,1.8817
"Corcorax_melanorhamphos","Corcoracidae","Passeriformes",364,"Omnivore",22.6,5.3872,1,0.364
"Cossypha_dichroa","Muscicapidae","Passeriformes",45.8,"Carnivore",17.1,NA,0,0.0458
"Cyanistes_caeruleus","Paridae","Passeriformes",11.1,"Omnivore",21,NA,0,0.0111
"Cyanoliseus_patagonus","Psittacidae","Psittaciformes",277.9,"Herbivore",49.9,NA,1,0.2779
"Cyanopsitta_spixii","Psittacidae","Psittaciformes",200,"Herbivore",37.4,NA,1,0.2
"Cyanoramphus_novaezelandiae","Psittacidae","Psittaciformes",90.2,"Herbivore",38.1,2.054994218,0,0.0902
"Cyornis_tickelliae","Muscicapidae","Passeriformes",16.2,"Carnivore",19,NA,0,0.0162
"Cyphorhinus_phaeocephalus","Troglodytidae","Passeriformes",24.6,"Carnivore",10.6,NA,1,0.0246
"Dacelo_novaeguineae","Alcedinidae","Coraciiformes",333.8,"Carnivore",29.1,4.46516,1,0.3338
"Dacnis_albiventris","Thraupidae","Passeriformes",11.2,"Omnivore",25.6,NA,0,0.0112
"Delichon_nipalense","Hirundinidae","Passeriformes",15,"Carnivore",54.1,NA,1,0.015
"Dendrocopos_leucotos","Picidae","Piciformes",116.8,"Carnivore",29.9,NA,0,0.1168
"Dendrocopos_major","Picidae","Piciformes",74.9,"Omnivore",29.3,NA,0,0.0749
"Dendrocopos_syriacus","Picidae","Piciformes",76.7,"Omnivore",26.6,NA,0,0.0767
"Dendronanthus_indicus","Motacillidae","Passeriformes",16.4,"Carnivore",34.4,NA,1,0.0164
"Deroptyus_accipitrinus","Psittacidae","Psittaciformes",246,"Herbivore",33.8,8.01864,0,0.246
"Dicaeum_ignipectus","Dicaeidae","Passeriformes",5.7,"Herbivore",23.3,NA,0,0.0057
"Dicrurus_macrocercus","Dicruridae","Passeriformes",48.3,"Carnivore",27.8,NA,1,0.0483
"Diopsittaca_nobilis","Psittacidae","Psittaciformes",150.9,"Herbivore",45.5,6.05024,1,0.1509
"Dolichonyx_oryzivorus","Icteridae","Passeriformes",31.5,"Omnivore",35.4,NA,1,0.0315
"Dryocopus_martius","Picidae","Piciformes",321,"Carnivore",26.4,NA,0,0.321
"Dryoscopus_cubla","Malaconotidae","Passeriformes",26.2,"Carnivore",13.8,1.116582894,0,0.0262
"Dulus_dominicus","Dulidae","Passeriformes",48.4,"Herbivore",20.5,1.160989936,1,0.0484
"Eclectus_cornelia","Psittacidae","Psittaciformes",480.8,"Herbivore",34.7,NA,0,0.4808
"Eclectus_polychloros","Psittacidae","Psittaciformes",480.8,"Herbivore",34.7,NA,1,0.4808
"Eclectus_roratus","Psittacidae","Psittaciformes",480.8,"Herbivore",34.7,7.62496,1,0.4808
"Elaenia_albiceps","Tyrannidae","Passeriformes",15.5,"Omnivore",20.3,NA,0,0.0155
"Elanoides_forficatus","Accipitridae","Accipitriformes",416.2,"Carnivore",46.9,NA,1,0.4162
"Elanus_axillaris","Accipitridae","Accipitriformes",270.1,"Carnivore",53.1,3.49132,1,0.2701
"Elanus_caeruleus","Accipitridae","Accipitriformes",259.8,"Carnivore",45.2,NA,1,0.2598
"Elanus_leucurus","Accipitridae","Accipitriformes",346,"Carnivore",41.5,NA,1,0.346
"Elanus_scriptus","Accipitridae","Accipitriformes",316,"Carnivore",49.2,NA,1,0.316
"Emberiza_aureola","Emberizidae","Passeriformes",19.6,"Omnivore",25.8,NA,1,0.0196
"Emberiza_bruniceps","Emberizidae","Passeriformes",24.8,"Omnivore",27.1,NA,1,0.0248
"Emberiza_calandra","Emberizidae","Passeriformes",48.5,"Herbivore",26.5,NA,1,0.0485
"Emberiza_citrinella","Emberizidae","Passeriformes",29.7,"Herbivore",25.7,NA,1,0.0297
"Emberiza_hortulana","Emberizidae","Passeriformes",19.9,"Omnivore",28.8,0.7252,1,0.0199
"Emberiza_melanocephala","Emberizidae","Passeriformes",28.3,"Omnivore",29.6,NA,1,0.0283
"Emberiza_pusilla","Emberizidae","Passeriformes",14.6,"Herbivore",24.5,NA,1,0.0146
"Emberiza_rustica","Emberizidae","Passeriformes",20.5,"Herbivore",25.2,NA,1,0.0205
"Emberiza_schoeniclus","Emberizidae","Passeriformes",18.4,"Herbivore",21.1,NA,1,0.0184
"Emberiza_spodocephala","Emberizidae","Passeriformes",18.5,"Carnivore",19.4,NA,1,0.0185
"Enicognathus_ferrugineus","Psittacidae","Psittaciformes",160,"Herbivore",47,4.841734549,0,0.16
"Enicognathus_leptorhynchus","Psittacidae","Psittaciformes",193,"Herbivore",48.8,NA,1,0.193
"Entomyzon_cyanotis","Meliphagidae","Passeriformes",105.3,"Omnivore",25.7,2.31028,0,0.1053
"Eos_bornea","Psittacidae","Psittaciformes",156,"Herbivore",46.4,NA,0,0.156
"Eos_cyanogenia","Psittacidae","Psittaciformes",167,"Herbivore",47.5,NA,0,0.167
"Eos_histrio","Psittacidae","Psittaciformes",204,"Herbivore",46.4,NA,1,0.204
"Eos_reticulata","Psittacidae","Psittaciformes",153,"Herbivore",49.5,NA,0,0.153
"Eos_squamata","Psittacidae","Psittaciformes",91,"Herbivore",48.8,NA,0,0.091
"Erythrura_cyaneovirens","Estrildidae","Passeriformes",13,"Herbivore",20,NA,0,0.013
"Erythrura_prasina","Estrildidae","Passeriformes",14.7,"Herbivore",24.4,NA,0,0.0147
"Erythrura_viridifacies","Estrildidae","Passeriformes",12.6,"Herbivore",27,NA,0,0.0126
"Estrilda_astrild","Estrildidae","Passeriformes",8.3,"Herbivore",16.8,NA,1,0.0083
"Estrilda_melpoda","Estrildidae","Passeriformes",7.6,"Omnivore",17.3,0.369824406,1,0.0076
"Eunymphicus_cornutus","Psittacidae","Psittaciformes",130,"Herbivore",40,NA,0,0.13
"Euodice_malabarica","Estrildidae","Passeriformes",12,"Herbivore",23.2,NA,1,0.012
"Euphagus_carolinus","Icteridae","Passeriformes",59.6,"Omnivore",28,1.56436,1,0.0596
"Euphagus_cyanocephalus","Icteridae","Passeriformes",62.5,"Carnivore",31.2,1.49184,1,0.0625
"Euplectes_afer","Ploceidae","Passeriformes",14.3,"Herbivore",20.6,NA,1,0.0143
"Euplectes_albonotatus","Ploceidae","Passeriformes",21.1,"Herbivore",15.7,NA,1,0.0211
"Euplectes_ardens","Ploceidae","Passeriformes",19,"Herbivore",18.7,NA,1,0.019
"Euplectes_aureus","Ploceidae","Passeriformes",25,"Herbivore",16.2,NA,1,0.025
